@relation FuncionCuadratica

@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo1 numeric

@data
1,1,29715.802734
1,1.5,50896.476563
1,2,6363.067383
1,2.5,6363.067383
1,3,89159.15625
1,3.5,89407.046875
1,4,460835.21875
1,4.5,459854.3125
1,5,1295662.875
1,5.5,1295662.875
1,6,2668542.5
1,6.5,2674280.75
1,7,3241176.75
1,7.5,3234228.75
1,8,4309487.5
1,8.5,4309487.5
1,9,73954512
1,9.5,73931008
1,10,90767904
3,1,42594.933594
3,1.5,42594.933594
3,2,1385520.875
3,2.5,1382299.625
3,3,1278457.875
3,3.5,1277208.125
3,4,15660326
3,4.5,15660326
3,5,1143732.625
3,5.5,1141252.625
3,6,2008511.25
3,6.5,2008511.25
3,7,2688161
3,7.5,2693968.5
3,8,3807865.5
3,8.5,3799339.75
3,9,4877231
3,9.5,4877231
3,10,4771047.5
5,1,1301.520386
5,1.5,1301.520386
5,2,14456.703125
5,2.5,14441.5
5,3,3160901.5
5,3.5,3160901.5
5,4,3536400
5,4.5,3539213.75
5,5,22902196
5,5.5,22902196
5,6,1526399
5,6.5,1529427
5,7,2264015.25
5,7.5,2259233
5,8,3399453
5,8.5,3399453
5,9,4515305.5
5,9.5,4525661
5,10,4353800
7,1,7095.92334
7,1.5,5642.647461
7,2,396014.0625
7,2.5,395950.65625
7,3,87094.898438
7,3.5,87094.898438
7,4,2617103
7,4.5,2615917
7,5,5589961
7,5.5,5585413.5
7,6,23099108
7,6.5,23099108
7,7,1927322.375
7,7.5,1923334.25
7,8,3023531.75
7,8.5,3023531.75
7,9,4146360
7,9.5,4155682.5
7,10,3947210.75
9,1,313.291809
9,1.5,313.291809
9,2,53778.59375
9,2.5,53777.949219
9,3,60950.925781
9,3.5,60950.925781
9,4,7752120
9,4.5,5649711
9,5,4222871.5
9,5.5,4329527.5
9,6,23220940
9,6.5,23220940
9,7,1655739.125
9,7.5,1652348.125
9,8,2646585.5
9,8.5,2646585.5
9,9,3748158
9,9.5,3756360.5
9,10,3540301
11,1,2725.545898
11,1.5,2720.731445
11,2,10056.201172
11,2.5,10052.645508
11,3,46604.535156
11,3.5,46604.535156
11,4,232776.828125
11,4.5,233195.359375
11,5,3379218.25
11,5.5,3382002
11,6,6747500.5
11,6.5,6746838
11,7,32965300
11,7.5,32965300
11,8,2318099.75
11,8.5,2318099.75
11,9,3294414.25
11,9.5,3301265.75
11,10,3174689.5
13,1,1553.958374
13,1.5,1542.190796
13,2,1019.263977
13,2.5,1015.596375
13,3,690157.6875
13,3.5,690157.6875
13,4,187768.84375
13,4.5,187768.84375
13,5,2690799.5
13,5.5,2689743.25
13,6,5113786.5
13,6.5,5110905.5
13,7,25936772
13,7.5,25936772
13,8,2010806.5
13,8.5,2006856.75
13,9,2824983.25
13,9.5,2824983.25
13,10,2786853
15,1,620.982422
15,1.5,166.490936
15,2,497.910889
15,2.5,496.906281
15,3,432474.75
15,3.5,432474.75
15,4,154975.625
15,4.5,154975.625
15,5,2139160.75
15,5.5,2138443.75
15,6,3648625.5
15,6.5,3646663.25
15,7,7552560
15,7.5,7558043.5
15,8,37215424
15,8.5,37215424
15,9,2545486.25
15,9.5,2550486.25
15,10,2535313.5
17,1,847.653015
17,1.5,846.783875
17,2,553.96698
17,2.5,550.241699
17,3,146722.296875
17,3.5,146608.65625
17,4,127591.28125
17,4.5,127372.90625
17,5,313576.15625
17,5.5,313576.15625
17,6,2935484.5
17,6.5,2935316.25
17,7,6339678
17,7.5,6335815.5
17,8,47045356
17,8.5,22052698
17,9,2210710.25
17,9.5,2210710.25
17,10,2284523.25
19,1,622.297974
19,1.5,622.297974
19,2,1309.54126
19,2.5,1112.730103
19,3,5954.237305
19,3.5,5954.237305
19,4,105875.15625
19,4.5,105875.15625
19,5,268206.34375
19,5.5,268607.625
19,6,2333204.25
19,6.5,2334587
19,7,5373909
19,7.5,5373752.5
19,8,28593794
19,8.5,28593794
19,9,204828896
19,9.5,28273576
19,10,100672296
21,1,478.060425
21,1.5,476.759857
21,2,809.642395
21,2.5,813.490662
21,3,3384.716797
21,3.5,3384.716797
21,4,85951.601563
21,4.5,86125.390625
21,5,231760.609375
21,5.5,231427.625
21,6,1809959.75
21,6.5,1809004.5
21,7,4443196
21,7.5,4446275.5
21,8,24000252
21,8.5,24000252
21,9,47054280
21,9.5,47054280
21,10,25998504
23,1,382.665161
23,1.5,382.665161
23,2,440.803162
23,2.5,435.233063
23,3,9603.099609
23,3.5,9597.712891
23,4,275893.40625
23,4.5,275714.5
23,5,204754.265625
23,5.5,204469.25
23,6,1475591.125
23,6.5,1474970.125
23,7,3941408.75
23,7.5,3944029.75
23,8,6936366.5
23,8.5,6934167.5
23,9,33048818
23,9.5,33048818
23,10,16148224
25,1,148.521881
25,1.5,156.179321
25,2,206.409973
25,2.5,207.629837
25,3,6455.347168
25,3.5,6455.347168
25,4,233460.40625
25,4.5,233450.53125
25,5,166570
25,5.5,166570
25,6,326909.78125
25,6.5,327414
25,7,2904388.5
25,7.5,2906275.5
25,8,6539106.5
25,8.5,6538010
25,9,31361954
25,9.5,31361954
25,10,13886811
27,1,148.521881
27,1.5,156.179321
27,2,206.409973
27,2.5,207.629837
27,3,6455.347168
27,3.5,6455.347168
27,4,233460.40625
27,4.5,233450.53125
27,5,166570
27,5.5,166570
27,6,326909.78125
27,6.5,327414
27,7,2904388.5
27,7.5,2906275.5
27,8,6539106.5
27,8.5,6538010
27,9,31361954
27,9.5,31361954
27,10,13886811
29,1,148.521881
29,1.5,156.179321
29,2,206.409973
29,2.5,207.629837
29,3,6455.347168
29,3.5,6455.347168
29,4,233460.40625
29,4.5,233450.53125
29,5,166570
29,5.5,166570
29,6,326909.78125
29,6.5,327414
29,7,2904388.5
29,7.5,2906275.5
29,8,6539106.5
29,8.5,6538010
29,9,31361954
29,9.5,31361954
29,10,13886811
0,1,0.062658
0,1.5,4240.203613
0,2,3197510
0,2.5,0.416902
0,3,89.230537
0,3.5,86.790703
0,4,717.073425
0,4.5,1396049.25
0,5,1.227119
2,1,28109.373047
2,1.5,27363.871094
2,2,23627.816406
2,2.5,23471.197266
2,3,24078.470703
2,3.5,24130.160156
2,4,39037.28125
2,4.5,37679.234375
2,5,91952.132813
4,1,7162.04834
4,1.5,7233.592773
4,2,6362.722656
4,2.5,6373.506836
4,3,6629.621094
4,3.5,6657.870117
4,4,10542.017578
4,4.5,10788.048828
4,5,23864.646484
6,1,3008.037842
6,1.5,3001.354492
6,2,2940.4729
6,2.5,2926.629883
6,3,3084.239502
6,3.5,3053.378174
6,4,4903.03125
6,4.5,4626.499512
6,5,10035.208008
8,1,1676.371216
8,1.5,1673.648682
8,2,1624.46167
8,2.5,1666.710815
8,3,1753.782471
8,3.5,1751.854004
8,4,2600.329834
8,4.5,2608.567871
8,5,5614.711914
10,1,1064.363403
10,1.5,1039.490723
10,2,1052.996338
10,2.5,1069.204834
10,3,1124.843018
10,3.5,1135.328857
10,4,1686.912354
10,4.5,1710.797852
10,5,3840.121338
12,1,725.7948
12,1.5,729.411682
12,2,735.270508
12,2.5,752.958618
12,3,801.082092
12,3.5,799.769653
12,4,1150.549683
12,4.5,1199.46875
12,5,2341.608398
14,1,554.638123
14,1.5,559.914307
14,2,555.031372
14,2.5,563.128418
14,3,605.443665
14,3.5,603.471863
14,4,814.015259
14,4.5,805.553711
14,5,1541.446411
16,1,443.445709
16,1.5,448.050323
16,2,438.23703
16,2.5,440.195313
16,3,471.088135
16,3.5,469.91507
16,4,612.742065
16,4.5,623.23761
16,5,1330.687988
18,1,363.084351
18,1.5,365.536865
18,2,350.277496
18,2.5,352.91095
18,3,377.673462
18,3.5,378.5737
18,4,536.412415
18,4.5,476.58493
18,5,950.596863
20,1,300.7995
20,1.5,297.303955
20,2,287.854889
20,2.5,294.706787
20,3,309.67392
20,3.5,312.96994
20,4,417.751923
20,4.5,415.066681
20,5,796.708313
22,1,251.649323
22,1.5,252.667221
22,2,246.443924
22,2.5,232.091614
22,3,257.806793
22,3.5,261.928009
22,4,339.499695
22,4.5,333.566681
22,5,542.597107
24,1,210.124893
24,1.5,213.645462
24,2,213.753876
24,2.5,214.000092
24,3,220.258713
24,3.5,220.235901
24,4,265.371918
24,4.5,259.025696
24,5,425.127777
26,1,196.949081
26,1.5,198.445251
26,2,193.509048
26,2.5,192.153076
26,3,203.986359
26,3.5,206.13063
26,4,263.54718
26,4.5,248.330307
26,5,391.159882
28,1,196.497345
28,1.5,198.088699
28,2,182.181519
28,2.5,186.579819
28,3,202.480225
28,3.5,203.977921
28,4,263.909729
28,4.5,270.202728
28,5,416.460999
30,1,197.665054
30,1.5,198.463348
30,2,192.499146
30,2.5,193.760559
30,3,206.317719
30,3.5,205.100708
30,4,267.498962
30,4.5,253.998596
30,5,417.709106
0,1,0.062658
0,1.5,4240.203613
