@relation FuncionCuadratica

@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo1 numeric

@data
1,1,98680.476563
1,1.5,97076.507813
1,2,81696.421875
1,2.5,81605.390625
1,3,75720.320313
1,3.5,75604.757813
1,4,83147.1875
1.5,1,98810.59375
1.5,1.5,98554.734375
1.5,2,81709.53125
1.5,2.5,81486.945313
1.5,3,75857.679688
1.5,3.5,75757.953125
1.5,4,84786.960938
2,1,27969.046875
2,1.5,27616.900391
2,2,23892.726563
2,2.5,23737.998047
2,3,22939.136719
2,3.5,23119.181641
2,4,28713.132813
2.5,1,28450.083984
2.5,1.5,28573.951172
2.5,2,23770.685547
2.5,2.5,23933.933594
2.5,3,22976.228516
2.5,3.5,23005.007813
2.5,4,29235.605469
3,1,12394.004883
3,1.5,12434.922852
3,2,11217.337891
3,2.5,11310.043945
3,3,10980.55957
3,3.5,11001.626953
3,4,14669.616211
3.5,1,12363.714844
3.5,1.5,12225.821289
3.5,2,11204.557617
3.5,2.5,11244.576172
3.5,3,11094.328125
3.5,3.5,11007.410156
3.5,4,14317.817383
4,1,6933.481445
4,1.5,7187.739746
4,2,6492.400879
4,2.5,6515.275879
4,3,6496.592285
4,3.5,6481.28125
4,4,8621.136719
4.5,1,7194.554199
4.5,1.5,7203.950195
4.5,2,6520.151367
4.5,2.5,6512.112793
4.5,3,6442.490723
4.5,3.5,6498.134277
4.5,4,8461.916992
5,1,4588.374512
5,1.5,4371.203613
5,2,4214.427246
5,2.5,4217.726074
5,3,4223.306641
5,3.5,4278.146484
5,4,5807.68457
5.5,1,4431.761719
5.5,1.5,4568.743164
5.5,2,4239.414551
5.5,2.5,4213.810059
5.5,3,4231.870605
5.5,3.5,4235.020996
5.5,4,5670.54541
6,1,3027.612061
6,1.5,3130.51709
6,2,2936.167236
6,2.5,2963.673584
6,3,2987.36792
6,3.5,2991.099609
6,4,4020.576172
6.5,1,3118.769531
6.5,1.5,3009.967529
6.5,2,2958.322998
6.5,2.5,2936.088135
6.5,3,2996.760986
6.5,3.5,2989.905029
6.5,4,3999.736572
7,1,2236.686523
7,1.5,2241.510254
7,2,2157.383301
7,2.5,2167.72583
7,3,2208.804932
7,3.5,2220.060059
7,4,2986.302246
7.5,1,2240.389404
7.5,1.5,2245.60376
7.5,2,2157.354004
7.5,2.5,2183.167236
7.5,3,2224.265137
7.5,3.5,2216.619629
7.5,4,2984.519287
8,1,1677.675171
8,1.5,1675.387085
8,2,1673.316406
8,2.5,1676.044067
8,3,1713.012817
8,3.5,1711.92627
